fecha_convocatoria,fecha_buena_pro,fecha_suscripcion,lead_time_adjudicacion,lead_time_formalizacion,lead_time_total_proceso,red_asistencial,dpto_entrega_item,tipo_proveedor,denominacion_dci,tipo_proceso_seleccion,es_consorcio,es_uso_critico,es_uso_intrahospitalario,monto_adjudicado_soles,anio,flag_tiene_adenda
2022-06-01,2022-06-23,2022-07-12,22,19,41,red asistencial loreto,lima,legal entity,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,34382.5,2022,0
2024-01-17,2024-01-30,2024-02-14,13,15,28,red prestacional almenara,lambayeque,legal entity,dextrometorfano 15mg/5ml,adjudicacion simplificada,0,0,0,370093.79,2024,0
2023-05-13,2023-05-21,2023-06-14,8,24,32,red asistencial madre de dios,lima,legal entity,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,388510.31,2023,1
2025-05-28,2025-06-21,2025-07-03,24,12,36,red prestacional rebagliati,la libertad,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,922004.61,2025,0
2022-10-04,2022-11-02,2022-11-18,29,16,45,red prestacional lambayeque,ancash,natural person,sodio cloruro 0.9%,subasta inversa electronica,0,0,1,10090686.83,2022,0
2024-08-19,2024-09-29,2024-10-09,41,10,51,red prestacional sabogal,lima,consortium,ritonavir 100 mg,adjudicacion simplificada,1,1,0,382581.29,2024,1
2022-11-10,2022-12-06,2022-12-22,26,16,42,red prestacional lambayeque,lambayeque,natural person,clotrimazol 1%,adjudicacion simplificada,0,0,0,32291.15,2022,0
2023-08-16,2023-09-03,2023-09-11,18,8,26,red prestacional rebagliati,lima,legal entity,cicloserine 250 mg,subasta inversa electronica,0,1,1,438773.13,2023,0
2024-05-18,2024-06-14,2024-06-28,27,14,41,red prestacional sabogal,lima,legal entity,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,889772.79,2024,0
2022-07-30,2022-09-10,2022-10-13,42,33,75,red asistencial la libertad,lima,legal entity,sodio cloruro 0.9%,licitacion publica,0,1,1,68261.87,2022,0
2025-01-28,2025-03-08,2025-03-22,39,14,53,red prestacional rebagliati,apurimac,legal entity,piperacilina/tazobactan 4g+500mg,subasta inversa electronica,0,1,1,770362.91,2025,0
2024-02-20,2024-03-08,2024-03-19,17,11,28,red prestacional almenara,lambayeque,legal entity,dextrometorfano 15mg/5ml,adjudicacion simplificada,0,0,1,118072.99,2024,0
2024-09-17,2024-10-10,2024-11-06,23,27,50,red prestacional rebagliati,la libertad,consortium,piperacilina/tazobactan 4g+500mg,adjudicacion simplificada,1,1,1,645547.69,2024,0
2022-09-18,2022-10-14,2022-11-05,26,22,48,red prestacional sabogal,lima,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,1,1,191775.8,2022,0
2022-12-16,2022-12-25,2023-01-18,9,24,33,red prestacional rebagliati,madre de dios,legal entity,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,705450.82,2022,0
2025-12-18,2025-12-24,2026-01-21,6,28,34,red prestacional almenara,lambayeque,legal entity,ritonavir 100 mg,subasta inversa electronica,0,1,0,132102.42,2025,0
2023-01-08,2023-02-15,2023-02-19,38,4,42,red prestacional lambayeque,piura,legal entity,sodio cloruro 0.9%,subasta inversa electronica,0,0,1,422368.07,2023,0
2022-11-16,2022-12-13,2022-12-23,27,10,37,red asistencial ancash,lima,legal entity,meropenem 500 mg,adjudicacion simplificada,0,1,1,39739.54,2022,0
2025-05-18,2025-06-10,2025-06-24,23,14,37,red prestacional almenara,apurimac,legal entity,ceftriaxona 1 g,subasta inversa electronica,0,1,1,1025133.15,2025,0
2022-02-07,2022-02-22,2022-03-18,15,24,39,red prestacional almenara,la libertad,legal entity,sodio cloruro 0.9%,adjudicacion simplificada,0,0,0,557960.31,2022,0
2022-04-21,2022-05-03,2022-05-19,12,16,28,red prestacional almenara,ancash,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,4224964.43,2022,1
2022-08-08,2022-09-07,2022-09-28,30,21,51,red asistencial loreto,cusco,consortium,sulfadiazina 1% crema,subasta inversa electronica,1,1,0,1975321.79,2022,0
2023-12-03,2023-12-13,2023-12-26,10,13,23,red asistencial la libertad,lima,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,363567.13,2023,0
2023-08-11,2023-08-25,2023-09-08,14,14,28,red asistencial madre de dios,lambayeque,natural person,clotrimazol 1%,adjudicacion simplificada,0,0,0,209159.92,2023,0
2023-05-16,2023-05-20,2023-05-29,4,9,13,red asistencial arequipa,lima,legal entity,omeprazol 20 mg,contratacion directa,0,0,0,334057.37,2023,0
2023-09-13,2023-10-06,2023-10-15,23,9,32,red prestacional sabogal,lambayeque,legal entity,clotrimazol 1%,subasta inversa electronica,0,0,0,72537.96,2023,0
2023-12-26,2024-02-11,2024-03-25,47,43,90,red asistencial loreto,piura,legal entity,cicloserine 250 mg,licitacion publica,0,1,1,423986.17,2023,1
2023-11-25,2023-12-21,2024-01-01,26,11,37,red prestacional rebagliati,lima,legal entity,omeprazol 20 mg,adjudicacion simplificada,0,0,0,88439.25,2023,0
2024-02-18,2024-03-26,2024-04-12,37,17,54,red asistencial arequipa,ancash,legal entity,sodio cloruro 0.9%,subasta inversa electronica,0,0,1,185655.92,2024,0
2023-10-19,2024-01-03,2024-02-07,76,35,111,red asistencial arequipa,apurimac,legal entity,ritonavir 100 mg,licitacion publica,0,1,0,21743.99,2023,0
2025-11-20,2025-12-17,2026-01-07,27,21,48,red prestacional rebagliati,lima,legal entity,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,595759.01,2025,0
2023-03-19,2023-05-14,2023-06-26,56,43,99,red asistencial arequipa,lima,legal entity,omeprazol 20 mg,licitacion publica,0,0,0,441889.05,2023,0
2023-04-15,2023-05-28,2023-06-13,43,16,59,red prestacional rebagliati,ancash,legal entity,hipromelosa 0.3%,subasta inversa electronica,0,0,0,446110.92,2023,0
2023-06-18,2023-07-02,2023-07-10,14,8,22,red prestacional rebagliati,loreto,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,957749.32,2023,0
2025-08-05,2025-08-16,2025-09-04,11,19,30,red prestacional rebagliati,ancash,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,177295.58,2025,0
2023-04-29,2023-06-03,2023-07-12,35,39,74,red prestacional sabogal,lambayeque,consortium,hipromelosa 0.3%,licitacion publica,1,0,0,217897.43,2023,0
2022-07-09,2022-09-14,2022-10-18,67,34,101,red prestacional sabogal,lima,consortium,cefalexina 500 mg,licitacion publica,1,0,0,58032.66,2022,0
2023-09-12,2023-10-01,2023-10-11,19,10,29,red prestacional rebagliati,arequipa,consortium,meropenem 500 mg,adjudicacion simplificada,1,1,1,1464276.62,2023,0
2025-09-23,2025-10-23,2025-11-11,30,19,49,red prestacional lambayeque,lima,legal entity,ritonavir 100 mg,subasta inversa electronica,0,1,0,3017281.51,2025,0
2023-05-29,2023-06-22,2023-07-09,24,17,41,red asistencial la libertad,madre de dios,natural person,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,140019.79,2023,0
2023-06-13,2023-07-03,2023-07-12,20,9,29,red prestacional sabogal,lima,legal entity,sulfadiazina 1% crema,contratacion directa,0,0,0,100052.93,2023,0
2023-05-20,2023-06-16,2023-06-28,27,12,39,red prestacional almenara,arequipa,legal entity,ritonavir 100 mg,adjudicacion simplificada,0,1,0,163335.17,2023,0
2023-12-13,2024-01-01,2024-01-08,19,7,26,red prestacional rebagliati,piura,legal entity,cicloserine 250 mg,contratacion directa,0,1,1,1300231.63,2023,0
2022-09-15,2022-09-28,2022-10-15,13,17,30,red asistencial arequipa,ancash,legal entity,hipromelosa 0.3%,contratacion directa,0,0,0,163917.57,2022,0
2023-09-26,2023-10-16,2023-11-04,20,19,39,red prestacional rebagliati,lima,natural person,insulina glargina 100 ui/ml,subasta inversa electronica,0,1,1,965114.18,2023,0
2025-06-30,2025-07-30,2025-08-18,30,19,49,red prestacional sabogal,lima,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,1,1,108330.94,2025,0
2022-06-09,2022-06-30,2022-07-11,21,11,32,red prestacional sabogal,lambayeque,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,0,1,637843.42,2022,0
2024-12-16,2025-01-08,2025-02-02,23,25,48,red asistencial arequipa,lambayeque,legal entity,enoxaparina 40 mg,adjudicacion simplificada,0,1,1,503812.06,2024,1
2023-10-15,2023-11-03,2023-11-25,19,22,41,red prestacional rebagliati,la libertad,legal entity,ritonavir 100 mg,adjudicacion simplificada,0,1,0,971084.63,2023,0
2022-10-15,2022-11-16,2022-12-14,32,28,60,red prestacional sabogal,lima,natural person,cicloserine 250 mg,licitacion publica,0,1,1,244115.36,2022,0
2022-08-14,2022-09-28,2022-10-22,45,24,69,red prestacional rebagliati,arequipa,legal entity,piperacilina/tazobactan 4g+500mg,subasta inversa electronica,0,1,1,671366.34,2022,0
2023-01-11,2023-02-08,2023-03-01,28,21,49,red prestacional rebagliati,lima,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,159886.36,2023,0
2023-01-10,2023-02-20,2023-04-22,41,61,102,red asistencial arequipa,madre de dios,legal entity,piperacilina/tazobactan 4g+500mg,licitacion publica,0,1,1,401066.85,2023,1
2025-09-28,2025-10-07,2025-10-27,9,20,29,red asistencial ancash,la libertad,legal entity,enoxaparina 40 mg,adjudicacion simplificada,0,1,1,67940.05,2025,0
2023-09-30,2023-10-25,2023-11-10,25,16,41,red prestacional rebagliati,lima,legal entity,piperacilina/tazobactan 4g+500mg,adjudicacion simplificada,0,1,0,527840.59,2023,0
2024-07-01,2024-07-14,2024-08-05,13,22,35,red asistencial arequipa,apurimac,natural person,sodio cloruro 0.9%,licitacion publica,0,0,1,387547.96,2024,0
2022-06-02,2022-06-14,2022-06-26,12,12,24,red prestacional rebagliati,lima,natural person,enoxaparina 40 mg,adjudicacion simplificada,0,1,1,506354.09,2022,0
2022-11-11,2022-11-27,2022-12-19,16,22,38,red prestacional rebagliati,cusco,natural person,clotrimazol 1%,subasta inversa electronica,0,0,0,10986416.25,2022,0
2022-11-30,2023-02-07,2023-04-01,69,53,122,red prestacional lambayeque,lambayeque,legal entity,hipromelosa 0.3%,licitacion publica,0,0,0,552146.98,2022,0
2024-05-03,2024-06-12,2024-07-20,40,38,78,red prestacional almenara,lima,natural person,ritonavir 100 mg,licitacion publica,0,0,0,52898.68,2024,1
2022-04-24,2022-05-22,2022-05-27,28,5,33,red prestacional rebagliati,piura,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,244030.11,2022,0
2023-10-05,2023-11-05,2023-11-16,31,11,42,red prestacional sabogal,loreto,legal entity,hipromelosa 0.3%,licitacion publica,0,0,1,503971.66,2023,0
2025-08-01,2025-08-13,2025-08-27,12,14,26,red prestacional sabogal,lima,natural person,ceftriaxona 1 g,adjudicacion simplificada,0,1,1,230701.51,2025,0
2023-06-21,2023-06-27,2023-07-11,6,14,20,red prestacional lambayeque,lima,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,3728494.54,2023,0
2023-10-15,2023-12-06,2024-01-01,52,26,78,red prestacional rebagliati,arequipa,consortium,sodio cloruro 0.9%,licitacion publica,1,0,1,171592.08,2023,0
2022-06-23,2022-07-22,2022-08-11,29,20,49,red asistencial loreto,lambayeque,legal entity,sodio cloruro 0.9%,subasta inversa electronica,0,0,1,655726.08,2022,0
2022-04-23,2022-06-23,2022-08-12,61,50,111,red asistencial madre de dios,lambayeque,legal entity,sodio cloruro 0.9%,licitacion publica,0,0,1,21002.79,2022,0
2024-05-01,2024-05-31,2024-06-11,30,11,41,red asistencial ancash,apurimac,natural person,cefalexina 500 mg,subasta inversa electronica,0,0,0,1163059.72,2024,0
2022-02-01,2022-03-21,2022-04-08,48,18,66,red prestacional sabogal,loreto,legal entity,sulfadiazina 1% crema,subasta inversa electronica,0,0,0,26688.44,2022,0
2024-08-09,2024-08-25,2024-09-09,16,15,31,red prestacional lambayeque,lima,legal entity,hipromelosa 0.3%,licitacion publica,0,0,0,2149683.13,2024,0
2023-04-29,2023-07-20,2023-08-23,82,34,116,red asistencial madre de dios,lambayeque,legal entity,sodio cloruro 0.9%,licitacion publica,0,1,1,816821.67,2023,1
2023-02-08,2023-03-04,2023-03-27,24,23,47,red prestacional lambayeque,lima,legal entity,meropenem 500 mg,subasta inversa electronica,0,0,1,355498.5,2023,0
2023-09-25,2023-10-08,2023-10-19,13,11,24,red prestacional lambayeque,cusco,legal entity,sodio cloruro 0.9%,subasta inversa electronica,0,1,1,132284.72,2023,0
2023-08-21,2023-09-09,2023-09-24,19,15,34,red prestacional rebagliati,cusco,natural person,ceftriaxona 1 g,adjudicacion simplificada,0,1,1,117826.4,2023,0
2023-01-18,2023-01-27,2023-02-11,9,15,24,red prestacional lambayeque,loreto,legal entity,sodio cloruro 0.9%,contratacion directa,0,0,1,506855.28,2023,1
2023-05-29,2023-08-04,2023-09-13,67,40,107,red prestacional rebagliati,la libertad,natural person,insulina glargina 100 ui/ml,licitacion publica,0,1,1,207702.84,2023,0
2024-05-28,2024-06-11,2024-06-29,14,18,32,red asistencial arequipa,lima,legal entity,dextrometorfano 15mg/5ml,subasta inversa electronica,0,0,0,119300.84,2024,0
2023-05-06,2023-06-07,2023-06-18,32,11,43,red prestacional rebagliati,apurimac,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,1250564.71,2023,0
2022-10-29,2022-11-23,2022-12-02,25,9,34,red prestacional almenara,loreto,legal entity,piperacilina/tazobactan 4g+500mg,adjudicacion simplificada,0,1,1,688295.04,2022,0
2023-12-26,2024-01-30,2024-02-22,35,23,58,red prestacional almenara,lima,natural person,omeprazol 20 mg,subasta inversa electronica,0,0,0,216391.99,2023,0
2023-08-26,2023-10-04,2023-11-26,39,53,92,red prestacional almenara,ancash,legal entity,ceftriaxona 1 g,licitacion publica,0,1,1,197525.07,2023,0
2022-05-15,2022-05-20,2022-05-30,5,10,15,red prestacional rebagliati,la libertad,legal entity,ceftriaxona 1 g,contratacion directa,0,1,1,494813.0,2022,0
2024-05-30,2024-08-04,2024-09-14,66,41,107,red prestacional almenara,apurimac,legal entity,omeprazol 20 mg,licitacion publica,0,0,0,66291.57,2024,1
2022-08-24,2022-10-02,2022-11-03,39,32,71,red prestacional rebagliati,lima,legal entity,meropenem 500 mg,licitacion publica,0,1,1,506043.44,2022,0
2023-08-12,2023-08-24,2023-09-19,12,26,38,red prestacional rebagliati,madre de dios,legal entity,ceftriaxona 1 g,subasta inversa electronica,0,1,0,1145345.95,2023,0
2022-07-22,2022-08-30,2022-09-22,39,23,62,red prestacional sabogal,lima,natural person,cefalexina 500 mg,licitacion publica,0,0,0,1157515.9,2022,0
2023-09-13,2023-10-19,2023-10-28,36,9,45,red asistencial ancash,ancash,legal entity,cefalexina 500 mg,subasta inversa electronica,0,0,0,791004.25,2023,0
2022-03-27,2022-04-10,2022-04-14,14,4,18,red prestacional sabogal,arequipa,legal entity,omeprazol 20 mg,contratacion directa,0,0,0,732862.4,2022,1
2022-05-30,2022-06-26,2022-07-16,27,20,47,red prestacional almenara,la libertad,legal entity,ritonavir 100 mg,adjudicacion simplificada,0,1,0,1396547.58,2022,0
2023-08-23,2023-10-08,2023-11-02,46,25,71,red asistencial loreto,lima,consortium,enoxaparina 40 mg,subasta inversa electronica,1,1,1,800544.38,2023,1
2024-12-10,2025-01-06,2025-01-25,27,19,46,red asistencial la libertad,lima,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,0,1,1360822.98,2024,1
2023-01-22,2023-02-15,2023-03-13,24,26,50,red asistencial la libertad,ancash,legal entity,meropenem 500 mg,adjudicacion simplificada,0,1,0,141213.93,2023,0
2022-12-14,2023-01-01,2023-01-16,18,15,33,red asistencial loreto,lima,legal entity,ceftriaxona 1 g,subasta inversa electronica,0,1,1,138827.24,2022,0
2022-10-12,2022-11-12,2022-11-29,31,17,48,red asistencial arequipa,lambayeque,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,590121.65,2022,0
2022-09-26,2022-10-11,2022-10-26,15,15,30,red prestacional almenara,loreto,natural person,clotrimazol 1%,adjudicacion simplificada,0,0,0,43581.9,2022,0
2023-09-15,2023-09-26,2023-10-17,11,21,32,red prestacional rebagliati,lima,legal entity,dextrometorfano 15mg/5ml,adjudicacion simplificada,0,0,0,4243707.23,2023,0
2022-01-29,2022-02-21,2022-03-10,23,17,40,red asistencial ancash,la libertad,legal entity,hipromelosa 0.3%,adjudicacion simplificada,0,0,0,107370.78,2022,0
2024-07-31,2024-08-31,2024-09-13,31,13,44,red prestacional rebagliati,la libertad,legal entity,paracetamol 500 mg,adjudicacion simplificada,0,0,0,147137.32,2024,0
2023-10-10,2023-10-29,2023-11-23,19,25,44,red asistencial madre de dios,ancash,legal entity,cicloserine 250 mg,subasta inversa electronica,0,1,1,119249.13,2023,0
2023-02-19,2023-03-21,2023-04-07,30,17,47,red asistencial arequipa,piura,legal entity,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,785499.23,2023,0
2024-04-04,2024-04-26,2024-05-07,22,11,33,red prestacional rebagliati,lambayeque,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,67536.44,2024,0
2023-03-29,2023-04-15,2023-04-28,17,13,30,red asistencial la libertad,lima,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,891573.74,2023,0
2023-02-13,2023-02-25,2023-03-23,12,26,38,red prestacional sabogal,cusco,legal entity,ritonavir 100 mg,adjudicacion simplificada,0,1,0,765787.29,2023,1
2024-10-04,2024-10-20,2024-10-30,16,10,26,red prestacional almenara,lima,consortium,omeprazol 20 mg,adjudicacion simplificada,1,0,0,123424.05,2024,0
2024-06-19,2024-07-11,2024-07-21,22,10,32,red asistencial la libertad,lima,legal entity,enoxaparina 40 mg,adjudicacion simplificada,0,1,1,34964.77,2024,0
2025-07-08,2025-07-28,2025-08-13,20,16,36,red prestacional almenara,cusco,legal entity,piperacilina/tazobactan 4g+500mg,adjudicacion simplificada,0,1,1,7781085.91,2025,1
2024-12-18,2025-01-02,2025-01-26,15,24,39,red asistencial ancash,lima,legal entity,sulfadiazina 1% crema,adjudicacion simplificada,0,0,0,1196034.17,2024,0
2025-07-03,2025-09-08,2025-10-02,67,24,91,red prestacional rebagliati,loreto,legal entity,cicloserine 250 mg,licitacion publica,0,1,1,66618.28,2025,0
2022-01-03,2022-01-22,2022-02-12,19,21,40,red prestacional rebagliati,lima,legal entity,insulina glargina 100 ui/ml,licitacion publica,0,0,1,650776.75,2022,0
2022-07-10,2022-08-21,2022-09-24,42,34,76,red prestacional rebagliati,lambayeque,legal entity,dextrometorfano 15mg/5ml,licitacion publica,0,0,1,2122328.33,2022,0
2023-04-28,2023-06-19,2023-08-14,52,56,108,red prestacional sabogal,lima,legal entity,meropenem 500 mg,licitacion publica,0,1,1,90571.11,2023,0
2023-01-19,2023-03-02,2023-04-12,42,41,83,red prestacional lambayeque,lima,consortium,ceftriaxona 1 g,licitacion publica,1,1,1,313454.84,2023,1
2023-01-23,2023-03-28,2023-05-02,64,35,99,red prestacional rebagliati,lima,legal entity,insulina glargina 100 ui/ml,licitacion publica,0,0,1,60007.55,2023,0
2022-01-30,2022-03-04,2022-04-09,33,36,69,red prestacional lambayeque,ancash,legal entity,clotrimazol 1%,licitacion publica,0,0,0,1938446.16,2022,0
2022-10-22,2022-12-20,2023-01-20,59,31,90,red prestacional almenara,lambayeque,legal entity,meropenem 500 mg,licitacion publica,0,1,1,959555.81,2022,1
2025-04-18,2025-04-30,2025-05-12,12,12,24,red prestacional sabogal,madre de dios,legal entity,ceftriaxona 1 g,contratacion directa,0,1,1,181031.57,2025,1
2022-10-08,2022-11-25,2022-12-31,48,36,84,red prestacional sabogal,lima,legal entity,ritonavir 100 mg,licitacion publica,0,0,0,177890.5,2022,0
2024-05-07,2024-05-08,2024-05-13,1,5,6,red prestacional almenara,loreto,legal entity,insulina glargina 100 ui/ml,contratacion directa,0,1,1,71351.1,2024,0
2024-08-16,2024-09-09,2024-09-30,24,21,45,red prestacional almenara,ancash,legal entity,omeprazol 20 mg,adjudicacion simplificada,0,0,0,657818.07,2024,0
2022-04-21,2022-05-14,2022-06-04,23,21,44,red asistencial ancash,piura,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,0,1,3122199.82,2022,0
2022-05-16,2022-06-10,2022-06-26,25,16,41,red prestacional rebagliati,cusco,legal entity,cicloserine 250 mg,subasta inversa electronica,0,1,0,128684.98,2022,0
2022-12-28,2023-02-12,2023-04-04,46,51,97,red prestacional sabogal,loreto,legal entity,meropenem 500 mg,licitacion publica,0,1,0,108959.59,2022,0
2025-07-05,2025-07-10,2025-07-25,5,15,20,red prestacional sabogal,piura,consortium,sodio cloruro 0.9%,adjudicacion simplificada,1,0,1,93552.28,2025,0
2022-05-24,2022-06-12,2022-07-03,19,21,40,red prestacional rebagliati,arequipa,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,211731.25,2022,0
2024-03-12,2024-03-24,2024-04-10,12,17,29,red asistencial loreto,lima,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,1,1,243412.44,2024,0
2024-05-08,2024-06-04,2024-06-22,27,18,45,red asistencial la libertad,lima,natural person,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,84608.3,2024,0
2024-12-29,2025-01-10,2025-01-18,12,8,20,red prestacional rebagliati,la libertad,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,528794.71,2024,0
2023-09-18,2023-12-07,2024-01-25,80,49,129,red prestacional almenara,lambayeque,consortium,piperacilina/tazobactan 4g+500mg,licitacion publica,1,1,0,250874.96,2023,1
2024-01-03,2024-01-15,2024-01-18,12,3,15,red prestacional sabogal,lima,legal entity,omeprazol 20 mg,adjudicacion simplificada,0,0,0,83149.89,2024,0
2023-04-14,2023-06-06,2023-07-03,53,27,80,red prestacional lambayeque,madre de dios,legal entity,cicloserine 250 mg,licitacion publica,0,1,1,356841.33,2023,1
2024-08-11,2024-09-16,2024-11-10,36,55,91,red prestacional rebagliati,lima,natural person,cicloserine 250 mg,licitacion publica,0,1,1,481657.24,2024,0
2022-11-16,2023-01-05,2023-02-24,50,50,100,red prestacional almenara,loreto,natural person,sulfadiazina 1% crema,licitacion publica,0,0,0,23240.85,2022,0
2022-12-28,2023-02-02,2023-02-27,36,25,61,red prestacional almenara,lima,legal entity,ritonavir 100 mg,subasta inversa electronica,0,0,0,395978.8,2022,0
2022-12-20,2022-12-31,2023-01-08,11,8,19,red asistencial arequipa,lima,natural person,sodio cloruro 0.9%,contratacion directa,0,0,1,206481.43,2022,1
2022-01-10,2022-03-04,2022-03-31,53,27,80,red prestacional rebagliati,la libertad,legal entity,omeprazol 20 mg,licitacion publica,0,0,0,252746.26,2022,0
2024-10-28,2024-11-06,2024-11-20,9,14,23,red prestacional almenara,apurimac,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,62078.97,2024,0
2023-08-19,2023-10-03,2023-11-07,45,35,80,red prestacional sabogal,arequipa,legal entity,meropenem 500 mg,licitacion publica,0,1,1,134357.41,2023,1
2024-08-06,2024-09-17,2024-10-14,42,27,69,red prestacional rebagliati,loreto,legal entity,ceftriaxona 1 g,licitacion publica,0,1,1,877742.41,2024,1
2023-03-07,2023-04-17,2023-05-15,41,28,69,red prestacional rebagliati,lima,legal entity,cicloserine 250 mg,adjudicacion simplificada,0,1,1,976523.2,2023,1
2025-04-22,2025-05-27,2025-06-17,35,21,56,red prestacional rebagliati,lima,legal entity,enoxaparina 40 mg,adjudicacion simplificada,0,1,1,390444.79,2025,0
2024-01-13,2024-03-18,2024-05-05,65,48,113,red prestacional sabogal,lima,legal entity,cefalexina 500 mg,licitacion publica,0,0,0,127091.47,2024,1
2023-03-27,2023-05-12,2023-06-26,46,45,91,red asistencial arequipa,la libertad,legal entity,paracetamol 500 mg,licitacion publica,0,1,0,400843.74,2023,0
2022-08-22,2022-09-21,2022-10-13,30,22,52,red prestacional sabogal,lima,legal entity,ritonavir 100 mg,subasta inversa electronica,0,1,0,1720333.61,2022,0
2024-03-30,2024-04-10,2024-04-23,11,13,24,red prestacional almenara,lima,legal entity,dextrometorfano 15mg/5ml,adjudicacion simplificada,0,0,0,386240.27,2024,0
2024-11-09,2024-12-19,2025-01-17,40,29,69,red prestacional sabogal,loreto,legal entity,hipromelosa 0.3%,licitacion publica,0,0,0,2340786.57,2024,1
2025-02-23,2025-03-11,2025-03-23,16,12,28,red prestacional almenara,cusco,legal entity,omeprazol 20 mg,contratacion directa,0,0,0,314019.99,2025,1
2024-01-12,2024-03-17,2024-04-01,65,15,80,red prestacional rebagliati,lima,legal entity,piperacilina/tazobactan 4g+500mg,licitacion publica,0,1,1,288637.87,2024,0
2022-07-28,2022-09-26,2022-11-07,60,42,102,red prestacional lambayeque,piura,legal entity,sodio cloruro 0.9%,licitacion publica,0,0,1,359400.61,2022,1
2023-01-14,2023-01-28,2023-02-14,14,17,31,red prestacional rebagliati,la libertad,legal entity,cefalexina 500 mg,adjudicacion simplificada,0,0,0,148375.27,2023,0
2022-05-01,2022-05-13,2022-06-02,12,20,32,red prestacional rebagliati,lima,legal entity,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,498435.17,2022,0
2025-01-20,2025-02-24,2025-04-18,35,53,88,red prestacional rebagliati,madre de dios,legal entity,piperacilina/tazobactan 4g+500mg,licitacion publica,0,1,1,815013.75,2025,1
2024-03-15,2024-05-25,2024-07-12,71,48,119,red asistencial madre de dios,ancash,legal entity,sodio cloruro 0.9%,licitacion publica,0,1,0,327633.94,2024,1
2022-08-31,2022-09-27,2022-10-01,27,4,31,red prestacional rebagliati,piura,legal entity,piperacilina/tazobactan 4g+500mg,adjudicacion simplificada,0,1,1,311369.95,2022,0
2025-08-11,2025-08-28,2025-09-20,17,23,40,red prestacional almenara,loreto,legal entity,sodio cloruro 0.9%,adjudicacion simplificada,0,0,1,189298.89,2025,0
2023-03-11,2023-03-27,2023-04-15,16,19,35,red prestacional sabogal,lima,legal entity,cicloserine 250 mg,subasta inversa electronica,0,1,1,301489.43,2023,0
2024-11-07,2024-12-01,2024-12-27,24,26,50,red asistencial loreto,la libertad,legal entity,piperacilina/tazobactan 4g+500mg,licitacion publica,0,1,1,320644.27,2024,0
2025-07-30,2025-08-20,2025-08-27,21,7,28,red prestacional rebagliati,lima,legal entity,clotrimazol 1%,adjudicacion simplificada,0,0,0,379740.41,2025,0
2023-04-11,2023-05-05,2023-05-22,24,17,41,red prestacional rebagliati,loreto,consortium,piperacilina/tazobactan 4g+500mg,adjudicacion simplificada,1,1,1,1274480.65,2023,1
2023-07-05,2023-08-20,2023-08-21,46,1,47,red prestacional rebagliati,ancash,legal entity,cefalexina 500 mg,licitacion publica,0,0,0,3560906.17,2023,0
2024-05-11,2024-06-08,2024-07-03,28,25,53,red asistencial loreto,lima,natural person,ritonavir 100 mg,adjudicacion simplificada,0,1,0,321389.82,2024,1
2022-04-21,2022-05-07,2022-05-15,16,8,24,red asistencial loreto,lima,legal entity,sodio cloruro 0.9%,contratacion directa,0,0,1,394457.51,2022,1
2022-05-12,2022-05-30,2022-06-09,18,10,28,red asistencial madre de dios,lima,legal entity,ceftriaxona 1 g,adjudicacion simplificada,0,0,1,23984.39,2022,0
2023-01-20,2023-03-21,2023-04-19,60,29,89,red prestacional lambayeque,apurimac,legal entity,enoxaparina 40 mg,licitacion publica,0,1,1,59539.22,2023,0
2023-01-24,2023-04-08,2023-05-17,74,39,113,red asistencial la libertad,lima,natural person,meropenem 500 mg,licitacion publica,0,1,0,1573424.09,2023,1
